[0.000000] (-) TimerEvent: {}
[0.000214] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000255] (-) JobUnselected: {'identifier': 'franka_bringup'}
[0.000299] (-) JobUnselected: {'identifier': 'franka_example_controllers'}
[0.000376] (-) JobUnselected: {'identifier': 'franka_fr3_moveit_config'}
[0.000396] (-) JobUnselected: {'identifier': 'franka_gazebo_bringup'}
[0.000413] (-) JobUnselected: {'identifier': 'franka_gripper'}
[0.000428] (-) JobUnselected: {'identifier': 'franka_hardware'}
[0.000444] (-) JobUnselected: {'identifier': 'franka_ign_ros2_control'}
[0.000459] (-) JobUnselected: {'identifier': 'franka_msgs'}
[0.000474] (-) JobUnselected: {'identifier': 'franka_mujoco_controller'}
[0.000489] (-) JobUnselected: {'identifier': 'franka_robot_state_broadcaster'}
[0.000504] (-) JobUnselected: {'identifier': 'franka_ros2'}
[0.000519] (-) JobUnselected: {'identifier': 'franka_semantic_components'}
[0.000534] (-) JobUnselected: {'identifier': 'integration_launch_testing'}
[0.000549] (-) JobUnselected: {'identifier': 'moveit'}
[0.000564] (-) JobUnselected: {'identifier': 'moveit_chomp_optimizer_adapter'}
[0.000579] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000594] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000609] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000625] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000639] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000654] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000669] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000684] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000698] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000713] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000728] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000742] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000757] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000772] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000787] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000801] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000816] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000920] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000949] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000964] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000979] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000993] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.001008] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.001022] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.001036] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.001051] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.001065] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.001080] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.001094] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.001108] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.001123] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.001137] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.001151] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.001165] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.001180] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.001195] (-) EventReactorShutdown: {}
