18:37:18 | 
=== PHASE 1: SUPERVISED LSTM PRE-TRAINING ===
18:37:18 | Collecting 10000 steps of random data...
18:37:33 | Pre-training LSTM for 5000 steps...
18:37:33 | Pretrain Loss: 0.7018
18:38:43 | Pretrain Loss: 0.0064
18:39:51 | Pretrain Loss: 0.0067
18:40:59 | Pretrain Loss: 0.0079
18:42:09 | Pretrain Loss: 0.0064
18:43:19 | Re-freezing LSTM.
18:43:19 | 
=== PHASE 2 & 3: RL TRAINING ===
18:43:46 | Step 500 | C: 0.32 | A: 0.00 | P: 0.000 | R: 0.57
18:44:12 | Step 1000 | C: 0.44 | A: 0.00 | P: 0.000 | R: 0.06
18:44:38 | Step 1500 | C: 0.47 | A: 0.00 | P: 0.000 | R: 0.32
18:45:05 | Step 2000 | C: 0.22 | A: 0.00 | P: 0.000 | R: 0.45
18:45:31 | Step 2500 | C: 0.85 | A: 0.00 | P: 0.000 | R: 0.12
18:45:57 | Step 3000 | C: 0.33 | A: 0.00 | P: 0.000 | R: 0.05
18:46:24 | Step 3500 | C: 2.13 | A: 0.00 | P: 0.000 | R: 0.41
18:46:51 | Step 4000 | C: 2.64 | A: 0.00 | P: 0.000 | R: 0.09
18:47:17 | Step 4500 | C: 5.86 | A: 0.00 | P: 0.000 | R: 0.14
18:47:44 | Step 5000 | C: 4.61 | A: 0.00 | P: 0.000 | R: 0.29
18:48:11 | Step 5500 | C: 5.02 | A: 0.00 | P: 0.000 | R: 0.34
18:48:37 | Step 6000 | C: 1.03 | A: 0.00 | P: 0.000 | R: 0.05
18:49:03 | Step 6500 | C: 6.29 | A: 0.00 | P: 0.000 | R: 0.14
18:49:29 | Step 7000 | C: 0.53 | A: 0.00 | P: 0.000 | R: 0.61
18:49:55 | Step 7500 | C: 8.73 | A: 0.00 | P: 0.000 | R: 0.04
18:50:21 | Step 8000 | C: 1.01 | A: 0.00 | P: 0.000 | R: 0.09
18:50:47 | Step 8500 | C: 20.62 | A: 0.00 | P: 0.000 | R: 0.76
18:51:13 | Step 9000 | C: 1.13 | A: 0.00 | P: 0.000 | R: 0.09
18:51:40 | Step 9500 | C: 1.47 | A: 0.00 | P: 0.000 | R: 0.09
18:52:06 | Step 10000 | C: 1.30 | A: 0.00 | P: 0.000 | R: 0.50
18:52:40 | Step 10500 | C: 1.62 | A: 0.00 | P: 0.000 | R: 0.12
18:53:14 | Step 11000 | C: 11.52 | A: 0.00 | P: 0.000 | R: 0.62
18:53:49 | Step 11500 | C: 1.27 | A: 0.00 | P: 0.000 | R: 0.18
18:54:25 | Step 12000 | C: 1.67 | A: 0.00 | P: 0.000 | R: 0.15
18:55:00 | Step 12500 | C: 26.65 | A: 0.00 | P: 0.000 | R: 0.14
18:55:35 | Step 13000 | C: 12.99 | A: 0.00 | P: 0.000 | R: 0.15
18:56:11 | Step 13500 | C: 20.75 | A: 0.00 | P: 0.000 | R: 0.24
18:56:46 | Step 14000 | C: 1.59 | A: 0.00 | P: 0.000 | R: 0.18
18:57:22 | Step 14500 | C: 19.73 | A: 0.00 | P: 0.000 | R: 0.13
18:57:57 | Step 15000 | C: 2.83 | A: 0.00 | P: 0.000 | R: 0.16
18:58:33 | Step 15500 | C: 20.71 | A: 0.00 | P: 0.000 | R: 0.16
18:59:08 | Step 16000 | C: 2.54 | A: 0.00 | P: 0.000 | R: 0.15
18:59:42 | Step 16500 | C: 1.39 | A: 0.00 | P: 0.000 | R: 0.43
19:00:17 | Step 17000 | C: 2.16 | A: 0.00 | P: 0.000 | R: 0.18
19:00:51 | Step 17500 | C: 1.85 | A: 0.00 | P: 0.000 | R: 0.15
19:01:26 | Step 18000 | C: 2.10 | A: 0.00 | P: 0.000 | R: 0.15
19:02:02 | Step 18500 | C: 1.55 | A: 0.00 | P: 0.000 | R: 0.15
19:02:37 | Step 19000 | C: 24.11 | A: 0.00 | P: 0.000 | R: 0.22
19:03:13 | Step 19500 | C: 1.44 | A: 0.00 | P: 0.000 | R: 0.17
19:03:49 | Step 20000 | C: 28.12 | A: 0.00 | P: 0.000 | R: 0.13
19:04:25 | Step 20500 | C: 2.11 | A: 0.00 | P: 0.000 | R: 0.15
19:05:01 | Step 21000 | C: 2.08 | A: 0.00 | P: 0.000 | R: 0.52
19:05:36 | Step 21500 | C: 2.16 | A: 0.00 | P: 0.000 | R: 0.65
19:06:11 | Step 22000 | C: 2.58 | A: 0.00 | P: 0.000 | R: 0.18
19:06:46 | Step 22500 | C: 3.26 | A: 0.00 | P: 0.000 | R: 0.14
19:07:20 | Step 23000 | C: 27.53 | A: 0.00 | P: 0.000 | R: 0.17
19:07:54 | Step 23500 | C: 4.67 | A: 0.00 | P: 0.000 | R: 0.60
19:08:29 | Step 24000 | C: 28.86 | A: 0.00 | P: 0.000 | R: 0.16
19:09:06 | Step 24500 | C: 39.70 | A: 0.00 | P: 0.000 | R: 0.14
19:09:41 | Step 25000 | C: 29.49 | A: 0.00 | P: 0.000 | R: 0.14
19:10:15 | Step 25500 | C: 3.21 | A: 0.00 | P: 0.000 | R: 0.16
19:10:50 | Step 26000 | C: 1.59 | A: 0.00 | P: 0.000 | R: 0.30
19:11:26 | Step 26500 | C: 2.88 | A: 0.00 | P: 0.000 | R: 0.17
19:12:01 | Step 27000 | C: 1.99 | A: 0.00 | P: 0.000 | R: 0.15
19:12:38 | Step 27500 | C: 2.04 | A: 0.00 | P: 0.000 | R: 0.14
19:13:14 | Step 28000 | C: 1.52 | A: 0.00 | P: 0.000 | R: 0.16
19:13:50 | Step 28500 | C: 2.23 | A: 0.00 | P: 0.000 | R: 0.16
19:14:26 | Step 29000 | C: 2.08 | A: 0.00 | P: 0.000 | R: 0.76
19:15:01 | Step 29500 | C: 1.85 | A: 0.00 | P: 0.000 | R: 0.17
19:15:36 | Step 30000 | C: 1.57 | A: 0.00 | P: 0.000 | R: 0.16
19:16:11 | Step 30500 | C: 3.19 | A: 0.00 | P: 0.000 | R: 0.15
19:16:47 | Step 31000 | C: 1.23 | A: 0.00 | P: 0.000 | R: 0.17
19:17:23 | Step 31500 | C: 1.64 | A: 0.00 | P: 0.000 | R: 0.26
19:17:59 | Step 32000 | C: 14.51 | A: 0.00 | P: 0.000 | R: 0.16
19:18:35 | Step 32500 | C: 46.89 | A: 0.00 | P: 0.000 | R: 0.14
19:19:12 | Step 33000 | C: 2.40 | A: 0.00 | P: 0.000 | R: 0.17
19:19:48 | Step 33500 | C: 2.66 | A: 0.00 | P: 0.000 | R: 0.16
19:20:24 | Step 34000 | C: 2.75 | A: 0.00 | P: 0.000 | R: 0.21
19:20:59 | Step 34500 | C: 2.24 | A: 0.00 | P: 0.000 | R: 0.58
19:21:34 | Step 35000 | C: 1.80 | A: 0.00 | P: 0.000 | R: 0.17
19:22:08 | Step 35500 | C: 1.95 | A: 0.00 | P: 0.000 | R: 0.15
19:22:43 | Step 36000 | C: 34.01 | A: 0.00 | P: 0.000 | R: 0.15
19:23:17 | Step 36500 | C: 52.71 | A: 0.00 | P: 0.000 | R: 0.15
19:23:52 | Step 37000 | C: 30.60 | A: 0.00 | P: 0.000 | R: 0.18
19:24:26 | Step 37500 | C: 9.57 | A: 0.00 | P: 0.000 | R: 0.17
19:25:01 | Step 38000 | C: 5.66 | A: 0.00 | P: 0.000 | R: 0.16
19:25:36 | Step 38500 | C: 34.61 | A: 0.00 | P: 0.000 | R: 0.13
19:26:11 | Step 39000 | C: 1.83 | A: 0.00 | P: 0.000 | R: 0.16
19:26:46 | Step 39500 | C: 2.31 | A: 0.00 | P: 0.000 | R: 0.15
19:27:20 | Step 40000 | C: 2.22 | A: 0.00 | P: 0.000 | R: 0.62
19:27:55 | Step 40500 | C: 13.33 | A: 0.00 | P: 0.000 | R: 0.17
19:28:29 | Step 41000 | C: 2.78 | A: 0.00 | P: 0.000 | R: 0.15
19:29:04 | Step 41500 | C: 4.12 | A: 0.00 | P: 0.000 | R: 0.16
19:29:38 | Step 42000 | C: 1.72 | A: 0.00 | P: 0.000 | R: 0.17
19:30:13 | Step 42500 | C: 1.76 | A: 0.00 | P: 0.000 | R: 0.18
19:30:49 | Step 43000 | C: 2.35 | A: 0.00 | P: 0.000 | R: 0.17
19:31:23 | Step 43500 | C: 2.02 | A: 0.00 | P: 0.000 | R: 0.13
19:31:59 | Step 44000 | C: 1.43 | A: 0.00 | P: 0.000 | R: 0.16
19:32:34 | Step 44500 | C: 1.69 | A: 0.00 | P: 0.000 | R: 0.15
19:33:08 | Step 45000 | C: 1.92 | A: 0.00 | P: 0.000 | R: 0.15
19:33:42 | Step 45500 | C: 1.73 | A: 0.00 | P: 0.000 | R: 0.71
19:34:17 | Step 46000 | C: 1.31 | A: 0.00 | P: 0.000 | R: 0.16
19:34:51 | Step 46500 | C: 2.03 | A: 0.00 | P: 0.000 | R: 0.13
19:35:26 | Step 47000 | C: 4.16 | A: 0.00 | P: 0.000 | R: 0.13
19:36:02 | Step 47500 | C: 1.53 | A: 0.00 | P: 0.000 | R: 0.17
19:36:38 | Step 48000 | C: 1.32 | A: 0.00 | P: 0.000 | R: 0.22
19:37:15 | Step 48500 | C: 3.00 | A: 0.00 | P: 0.000 | R: 0.17
19:37:51 | Step 49000 | C: 3.70 | A: 0.00 | P: 0.000 | R: 0.15
19:38:26 | Step 49500 | C: 1.64 | A: 0.00 | P: 0.000 | R: 0.15
19:39:02 | Step 50000 | C: 1.33 | A: -85.09 | P: 0.000 | R: 0.16
19:39:49 | Step 50500 | C: 5.00 | A: -87.80 | P: 0.000 | R: 0.16
19:40:36 | Step 51000 | C: 8.29 | A: -86.87 | P: 0.000 | R: 0.10
19:41:23 | Step 51500 | C: 22.46 | A: -86.55 | P: 0.000 | R: 0.08
19:42:10 | Step 52000 | C: 27.73 | A: -84.57 | P: 0.000 | R: 0.05
19:42:58 | Step 52500 | C: 9.51 | A: -81.90 | P: 0.000 | R: 0.61
19:43:46 | Step 53000 | C: 6.85 | A: -80.85 | P: 0.000 | R: 0.04
19:44:33 | Step 53500 | C: 5.80 | A: -78.26 | P: 0.000 | R: 0.24
19:45:21 | Step 54000 | C: 6.15 | A: -75.54 | P: 0.000 | R: 0.06
19:46:08 | Step 54500 | C: 6.44 | A: -73.21 | P: 0.000 | R: 0.11
19:46:55 | Step 55000 | C: 6.98 | A: -70.55 | P: 0.000 | R: 0.07
19:47:45 | Step 55500 | C: 38.41 | A: -68.64 | P: 0.000 | R: 0.12
19:48:34 | Step 56000 | C: 1.75 | A: -67.15 | P: 0.000 | R: 0.52
19:49:24 | Step 56500 | C: 0.91 | A: -65.69 | P: 0.000 | R: 0.15
19:50:13 | Step 57000 | C: 10.06 | A: -64.42 | P: 0.000 | R: 0.16
19:51:02 | Step 57500 | C: 9.93 | A: -62.88 | P: 0.000 | R: 0.13
19:51:52 | Step 58000 | C: 1.21 | A: -61.59 | P: 0.000 | R: 0.17
19:52:39 | Step 58500 | C: 1.16 | A: -60.19 | P: 0.000 | R: 0.13
19:53:26 | Step 59000 | C: 0.64 | A: -58.69 | P: 0.000 | R: 0.15
19:54:13 | Step 59500 | C: 1.28 | A: -57.53 | P: 0.000 | R: 0.13
19:55:00 | Step 60000 | C: 0.78 | A: -56.18 | P: 0.000 | R: 0.13
19:55:47 | Step 60500 | C: 1.86 | A: -54.74 | P: 0.000 | R: 0.08
19:56:34 | Step 61000 | C: 9.24 | A: -53.52 | P: 0.000 | R: 0.29
19:57:21 | Step 61500 | C: 1.08 | A: -52.07 | P: 0.000 | R: 0.11
19:58:08 | Step 62000 | C: 0.63 | A: -50.70 | P: 0.000 | R: 0.96
19:58:55 | Step 62500 | C: 0.57 | A: -49.16 | P: 0.000 | R: 0.11
19:59:44 | Step 63000 | C: 1.05 | A: -48.06 | P: 0.000 | R: 0.09
20:00:31 | Step 63500 | C: 0.38 | A: -46.51 | P: 0.000 | R: 0.13
20:01:20 | Step 64000 | C: 0.63 | A: -45.03 | P: 0.000 | R: 0.17
20:02:06 | Step 64500 | C: 0.93 | A: -43.41 | P: 0.000 | R: 0.26
20:02:53 | Step 65000 | C: 0.40 | A: -42.58 | P: 0.000 | R: 0.89
20:03:39 | Step 65500 | C: 13.84 | A: -41.41 | P: 0.000 | R: 0.38
20:04:27 | Step 66000 | C: 0.55 | A: -40.47 | P: 0.000 | R: 0.13
20:05:14 | Step 66500 | C: 0.44 | A: -39.19 | P: 0.000 | R: 0.15
