20:37:53 | Trainer Initialized. Parallel Envs: 20
20:37:53 | 
=== PHASE 1: SUPERVISED LSTM PRE-TRAINING ===
20:37:53 | Collecting 10000 steps of random data...
20:38:13 | Pre-training LSTM for 5000 steps...
20:38:13 | Pretrain Loss: 0.6681
20:39:20 | Pretrain Loss: 0.0032
20:40:28 | Pretrain Loss: 0.0028
20:41:35 | Pretrain Loss: 0.0029
20:42:43 | Pretrain Loss: 0.0030
20:43:50 | Re-freezing LSTM.
20:43:50 | 
=== PHASE 2 & 3: RL TRAINING ===
20:43:51 | Step 0 | C: 0.36 | A: 0.00 | P: 0.000 | R_avg: 0.96
20:44:40 | Step 1000 | C: 0.19 | A: 0.00 | P: 0.000 | R_avg: 0.28
20:45:29 | Step 2000 | C: 0.22 | A: 0.00 | P: 0.000 | R_avg: 0.12
20:46:19 | Step 3000 | C: 1.36 | A: 0.00 | P: 0.000 | R_avg: 0.12
20:47:09 | Step 4000 | C: 0.34 | A: 0.00 | P: 0.000 | R_avg: 0.14
20:48:01 | Step 5000 | C: 0.51 | A: 0.00 | P: 0.000 | R_avg: 0.21
20:48:52 | Step 6000 | C: 0.77 | A: 0.00 | P: 0.000 | R_avg: 0.13
20:49:44 | Step 7000 | C: 0.73 | A: 0.00 | P: 0.000 | R_avg: 0.10
20:50:35 | Step 8000 | C: 8.54 | A: 0.00 | P: 0.000 | R_avg: 0.22
20:51:28 | Step 9000 | C: 1.29 | A: 0.00 | P: 0.000 | R_avg: 0.23
20:52:20 | Step 10000 | C: 26.72 | A: 0.00 | P: 0.000 | R_avg: 0.18
20:53:13 | Step 11000 | C: 36.43 | A: 0.00 | P: 0.000 | R_avg: 0.22
20:54:07 | Step 12000 | C: 18.95 | A: 0.00 | P: 0.000 | R_avg: 0.30
20:55:01 | Step 13000 | C: 15.22 | A: 0.00 | P: 0.000 | R_avg: 0.38
20:55:54 | Step 14000 | C: 5.13 | A: 0.00 | P: 0.000 | R_avg: 0.44
20:56:47 | Step 15000 | C: 1.63 | A: 0.00 | P: 0.000 | R_avg: 0.45
20:57:40 | Step 16000 | C: 1.72 | A: 0.00 | P: 0.000 | R_avg: 0.42
20:58:33 | Step 17000 | C: 1.39 | A: 0.00 | P: 0.000 | R_avg: 0.34
20:59:28 | Step 18000 | C: 1.32 | A: 0.00 | P: 0.000 | R_avg: 0.28
21:00:24 | Step 19000 | C: 1.89 | A: 0.00 | P: 0.000 | R_avg: 0.31
21:01:19 | Step 20000 | C: 33.64 | A: 0.00 | P: 0.000 | R_avg: 0.28
21:02:13 | Step 21000 | C: 2.04 | A: 0.00 | P: 0.000 | R_avg: 0.24
21:03:07 | Step 22000 | C: 4.17 | A: 0.00 | P: 0.000 | R_avg: 0.22
21:04:02 | Step 23000 | C: 1.29 | A: 0.00 | P: 0.000 | R_avg: 0.23
21:04:56 | Step 24000 | C: 4.24 | A: 0.00 | P: 0.000 | R_avg: 0.29
21:05:49 | Step 25000 | C: 2.93 | A: 0.00 | P: 0.000 | R_avg: 0.26
21:06:44 | Step 26000 | C: 16.35 | A: 0.00 | P: 0.000 | R_avg: 0.23
21:07:39 | Step 27000 | C: 31.56 | A: 0.00 | P: 0.000 | R_avg: 0.22
21:08:34 | Step 28000 | C: 27.42 | A: 0.00 | P: 0.000 | R_avg: 0.21
21:09:27 | Step 29000 | C: 2.03 | A: 0.00 | P: 0.000 | R_avg: 0.21
21:10:21 | Step 30000 | C: 1.52 | A: 0.00 | P: 0.000 | R_avg: 0.20
21:11:14 | Step 31000 | C: 4.81 | A: 0.00 | P: 0.000 | R_avg: 0.21
21:12:08 | Step 32000 | C: 1.68 | A: 0.00 | P: 0.000 | R_avg: 0.19
21:13:04 | Step 33000 | C: 1.85 | A: 0.00 | P: 0.000 | R_avg: 0.18
21:13:59 | Step 34000 | C: 1.18 | A: 0.00 | P: 0.000 | R_avg: 0.21
21:14:53 | Step 35000 | C: 12.26 | A: 0.00 | P: 0.000 | R_avg: 0.20
21:15:45 | Step 36000 | C: 2.51 | A: 0.00 | P: 0.000 | R_avg: 0.20
21:16:40 | Step 37000 | C: 1.47 | A: 0.00 | P: 0.000 | R_avg: 0.19
21:17:35 | Step 38000 | C: 0.97 | A: 0.00 | P: 0.000 | R_avg: 0.22
21:18:29 | Step 39000 | C: 1.05 | A: 0.00 | P: 0.000 | R_avg: 0.21
21:19:22 | Step 40000 | C: 12.24 | A: 0.00 | P: 0.000 | R_avg: 0.20
21:20:16 | Step 41000 | C: 1.90 | A: 0.00 | P: 0.000 | R_avg: 0.19
21:21:10 | Step 42000 | C: 1.39 | A: 0.00 | P: 0.000 | R_avg: 0.18
21:22:04 | Step 43000 | C: 1.38 | A: 0.00 | P: 0.000 | R_avg: 0.18
21:22:59 | Step 44000 | C: 1.48 | A: 0.00 | P: 0.000 | R_avg: 0.16
21:23:53 | Step 45000 | C: 1.87 | A: 0.00 | P: 0.000 | R_avg: 0.15
21:24:48 | Step 46000 | C: 51.54 | A: 0.00 | P: 0.000 | R_avg: 0.16
21:25:42 | Step 47000 | C: 1.49 | A: 0.00 | P: 0.000 | R_avg: 0.16
21:26:36 | Step 48000 | C: 1.99 | A: 0.00 | P: 0.000 | R_avg: 0.16
21:27:30 | Step 49000 | C: 1.12 | A: 0.00 | P: 0.000 | R_avg: 0.24
21:28:24 | Step 50000 | C: 1.54 | A: -83.90 | P: 0.000 | R_avg: 0.28
21:29:44 | Step 51000 | C: 7.13 | A: -84.74 | P: 0.000 | R_avg: 0.15
21:31:04 | Step 52000 | C: 6.62 | A: -81.56 | P: 0.000 | R_avg: 0.16
21:32:22 | Step 53000 | C: 6.18 | A: -77.74 | P: 0.000 | R_avg: 0.21
21:33:43 | Step 54000 | C: 1.81 | A: -75.05 | P: 0.000 | R_avg: 0.22
21:35:02 | Step 55000 | C: 1.65 | A: -72.66 | P: 0.000 | R_avg: 0.38
21:36:21 | Step 56000 | C: 0.89 | A: -69.60 | P: 0.000 | R_avg: 0.51
21:37:39 | Step 57000 | C: 8.95 | A: -66.32 | P: 0.000 | R_avg: 0.46
21:38:58 | Step 58000 | C: 0.99 | A: -63.14 | P: 0.000 | R_avg: 0.42
