00:03:56 | Trainer Initialized. Parallel Envs: 20
00:03:56 | 
=== PHASE 1: SUPERVISED LSTM PRE-TRAINING ===
00:03:56 | Collecting 10000 steps of EXPERT (BASE POLICY) data...
00:04:33 | Pre-training LSTM for 5000 steps...
00:04:33 | Pretrain Loss: 0.7015
00:05:40 | Pretrain Loss: 0.0086
00:06:46 | Pretrain Loss: 0.0082
00:07:53 | Pretrain Loss: 0.0083
00:08:58 | Pretrain Loss: 0.0082
00:10:02 | Re-freezing LSTM.
00:10:02 | 
=== PHASE 2 & 3: RL TRAINING ===
00:10:03 | Step 0 | C: 0.36 | A: 0.00 | P: 0.000 | R_avg: 1.00
00:10:52 | Step 1000 | C: 0.38 | A: 0.00 | P: 0.000 | R_avg: 1.00
00:11:42 | Step 2000 | C: 0.43 | A: 0.00 | P: 0.000 | R_avg: 1.00
00:12:32 | Step 3000 | C: 0.40 | A: 0.00 | P: 0.000 | R_avg: 1.00
00:13:23 | Step 4000 | C: 0.38 | A: 0.00 | P: 0.000 | R_avg: 0.94
00:14:15 | Step 5000 | C: 0.39 | A: 0.00 | P: 0.000 | R_avg: 0.86
00:15:08 | Step 6000 | C: 0.39 | A: 0.00 | P: 0.000 | R_avg: 0.62
00:16:01 | Step 7000 | C: 0.39 | A: 0.00 | P: 0.000 | R_avg: 0.28
00:16:56 | Step 8000 | C: 0.39 | A: 0.00 | P: 0.000 | R_avg: 0.18
00:17:48 | Step 9000 | C: 0.42 | A: 0.00 | P: 0.000 | R_avg: 0.15
00:18:43 | Step 10000 | C: 0.38 | A: 0.00 | P: 0.000 | R_avg: 0.14
00:19:37 | Step 11000 | C: 0.43 | A: 0.00 | P: 0.000 | R_avg: 0.15
00:20:31 | Step 12000 | C: 0.34 | A: 0.00 | P: 0.000 | R_avg: 0.15
00:21:25 | Step 13000 | C: 0.37 | A: 0.00 | P: 0.000 | R_avg: 0.16
00:22:18 | Step 14000 | C: 0.32 | A: 0.00 | P: 0.000 | R_avg: 0.16
00:23:11 | Step 15000 | C: 0.33 | A: 0.00 | P: 0.000 | R_avg: 0.17
00:24:05 | Step 16000 | C: 0.38 | A: 0.00 | P: 0.000 | R_avg: 0.18
00:24:59 | Step 17000 | C: 0.36 | A: 0.00 | P: 0.000 | R_avg: 0.18
00:25:53 | Step 18000 | C: 0.35 | A: 0.00 | P: 0.000 | R_avg: 0.19
00:26:47 | Step 19000 | C: 0.38 | A: 0.00 | P: 0.000 | R_avg: 0.19
00:27:40 | Step 20000 | C: 0.39 | A: 0.00 | P: 0.000 | R_avg: 0.18
00:28:34 | Step 21000 | C: 0.31 | A: 0.00 | P: 0.000 | R_avg: 0.18
