#{"t_start": 1750338934.3494315, "env_id": "None"}
r,l,t
1319.998726,500,46.70811
980.592902,500,47.117563
1247.025164,500,47.548803
872.748038,500,48.016303
694.286291,500,48.492338
836.300173,500,97.249342
838.316514,500,97.651419
625.748511,500,98.049658
906.286081,500,98.50808
876.690213,500,98.953383
1598.071256,500,152.699816
1851.894168,500,153.127809
1130.520007,500,153.547048
2352.324202,500,153.955342
897.635844,500,154.405635
1785.279724,500,203.371023
1712.785083,500,203.765445
1265.753501,500,204.156647
1558.620372,500,204.567161
2137.023803,500,204.980275
731.154307,500,251.406811
2303.911689,500,251.829254
1088.371022,500,252.226762
1228.743852,500,252.620887
637.996692,500,253.011647
1542.680417,500,301.604044
2137.399432,500,301.995332
2524.183793,500,302.381678
935.234513,500,302.769585
1414.021387,500,303.159766
1609.597914,500,352.374479
1393.91603,500,352.769469
1337.253304,500,353.167246
1036.785208,500,353.563266
656.220331,500,353.967164
1233.993758,500,400.291025
2875.44465,500,400.670557
957.230533,500,401.058641
2290.865038,500,401.448321
1033.694894,500,401.833737
678.954313,500,447.916893
1259.451313,500,448.304946
693.837349,500,448.693711
2669.172447,500,449.083513
660.865332,500,449.46745
817.189729,500,495.733878
1842.945524,500,496.156899
746.30549,500,496.596874
1932.59894,500,497.036521
1031.839036,500,497.482478
1443.013774,500,544.003471
2645.553154,500,544.388847
601.991559,500,544.812388
847.413131,500,545.200241
1527.738565,500,545.58497
2151.337468,500,592.090749
694.339609,500,592.488961
671.251532,500,592.887585
2197.481246,500,593.304216
2863.968235,500,593.702581
2140.33792,500,640.073772
839.63646,500,640.47146
1425.392509,500,640.870512
951.270083,500,641.266718
681.329657,500,641.66497
1226.49096,500,687.870684
3134.676168,500,688.266939
1018.065657,500,688.668451
947.217479,500,689.067028
1948.228096,500,689.468759
565.508669,500,736.337577
1694.660946,500,736.828909
875.340652,500,737.289758
724.408418,500,737.774461
805.396866,500,738.27554
1276.422464,500,786.673184
1300.205486,500,787.078948
3095.036696,500,787.489571
3047.966923,500,787.898755
2824.532993,500,788.325633
1371.694844,500,835.190565
794.553256,500,835.607145
673.604973,500,836.023168
2959.954521,500,836.431746
941.145173,500,836.838762
1808.039094,500,890.332327
1732.798518,500,890.804454
672.165437,500,891.267481
575.900946,500,891.746566
1731.362077,500,892.234373
610.459546,500,950.678613
1022.444152,500,951.148004
2562.247184,500,951.610874
573.272784,500,952.076123
690.910368,500,952.558809
1864.273716,500,999.537277
713.224827,500,999.92997
664.785707,500,1000.316825
1843.115302,500,1000.704504
1840.837087,500,1001.095076
1
824.379343,500,506.870217
1950.073892,500,511.471283
2336.590524,500,516.0702
2748.324631,500,520.664288
1460.140817,500,525.361796
1738.814063,500,529.957247
1174.3946,500,534.542888
1535.105397,500,539.138462
864.791684,500,543.738347
786.883394,500,550.333068
637.946192,500,554.967948
813.719372,500,559.540566
1122.562606,500,564.063453
963.389934,500,568.707098
1463.834443,500,573.299918
753.352521,500,577.952763
2998.113275,500,582.558187
1011.556137,500,587.134909
1624.556777,500,591.807195
712.288625,500,598.526552
1770.087394,500,603.125455
1356.360354,500,607.722129
3071.177428,500,612.29551
2413.879258,500,616.859586
2280.84865,500,621.470533
703.454538,500,626.011884
3102.039843,500,630.595955
640.613653,500,635.23392
804.762171,500,639.785191
2741.92196,500,646.432212
2749.151772,500,650.964613
735.720143,500,655.54863
1460.079677,500,660.137077
2694.413757,500,664.706916
2419.371011,500,669.29449
664.401636,500,673.869025
668.562373,500,678.432842
719.072501,500,682.962073
1660.646653,500,687.577738
1200.194182,500,694.324692
2181.343035,500,698.927352
1565.117861,500,703.48907
641.023763,500,708.085813
712.176255,500,712.699386
609.797978,500,717.332858
875.934815,500,721.927094
1587.545484,500,726.550892
3104.296447,500,731.177004
715.166851,500,735.980959
658.177367,500,743.538909
601.552745,500,748.379668
1599.012303,500,753.416512
3043.909083,500,758.344314
731.484178,500,763.089543
903.944061,500,767.811984
1256.764006,500,772.443036
2699.643319,500,777.095513
6.5,1,777.104383
735.615528,500,781.725987
2842.75573,500,788.506911
1650.565277,500,793.14653
853.394797,500,797.791148
932.650753,500,802.424316
606.096189,500,807.070429
1087.969839,500,811.732799
1597.135036,500,816.375347
604.438035,500,821.064594
1475.237801,500,825.721247
2457.669299,500,830.279757
1732.374324,500,836.972678
1719.974387,500,841.664205
1001.762874,500,846.548571
871.701489,500,851.824796
1365.268903,500,857.135457
6.5,1,857.14594
1370.613951,500,862.266165
1298.933614,500,867.629906
1148.86247,500,873.146363
639.471559,500,878.792336
1024.665671,500,884.331233
1509.921739,500,892.403081
623.694922,500,898.271548
607.307205,500,904.001752
711.748703,500,909.93619
679.608765,500,915.740443
1460.765827,500,921.713838
1051.84844,500,927.582174
1435.694273,500,933.353933
759.212716,500,939.145077
2126.137058,500,944.699273
1569.457273,500,952.707702
2021.132933,500,957.534745
982.24729,500,962.260592
2235.672633,500,966.875158
788.965056,500,971.518416
1807.386538,500,976.114069
2098.041832,500,980.7138
800.446401,500,985.28907
675.260996,500,989.897512
3014.084117,500,994.658455
